Users	2015-11-28T12:12:18.872Z	2015-11-29T23:37:19.706Z	2015-11-30T23:10:18.669Z	2015-12-01T10:29:49.270Z	2015-12-02T08:20:01.535Z	2015-12-03T08:20:01.465Z	2015-12-04T08:20:01.493Z	2015-12-05T08:20:01.369Z	2015-12-06T08:20:01.528Z	2015-12-07T08:20:01.875Z	2015-12-08T08:20:01.909Z	2015-12-09T08:20:01.468Z	2015-12-10T08:20:01.394Z	2015-12-11T08:20:01.262Z	2015-12-12T08:20:01.348Z	2015-12-13T08:20:01.883Z	2015-12-14T08:20:01.281Z	2015-12-15T08:20:01.581Z	2015-12-16T08:20:01.240Z	2015-12-17T08:20:01.714Z	2015-12-18T08:20:01.574Z	2015-12-19T08:20:02.835Z	2015-12-20T08:20:02.072Z	2015-12-21T08:20:01.544Z	2015-12-22T08:20:01.930Z	2015-12-23T08:20:02.117Z	2015-12-24T08:20:01.586Z	2015-12-25T08:20:02.108Z	2015-12-26T08:20:01.415Z	2015-12-27T08:20:02.337Z	2015-12-28T08:20:01.287Z	2015-12-29T08:20:02.735Z	2015-12-30T08:20:01.206Z	2015-12-31T08:20:02.328Z	2016-01-01T08:20:02.395Z	2016-01-02T08:20:02.001Z	2016-01-03T08:20:01.415Z	2016-01-04T08:20:01.912Z	2016-01-05T08:20:02.038Z	2016-01-06T08:20:02.201Z	2016-01-07T08:20:01.975Z	2016-01-08T08:20:01.365Z	2016-01-09T08:20:01.625Z	2016-01-10T08:20:02.505Z	2016-01-11T08:20:02.244Z	2016-01-12T08:20:02.736Z	2016-01-13T08:20:01.153Z	2016-01-14T08:20:02.422Z	2016-01-15T08:20:02.066Z	2016-01-16T08:20:01.687Z	2016-01-17T08:20:01.408Z	2016-01-18T08:20:01.166Z	2016-01-19T08:20:01.537Z	2016-01-20T08:20:01.871Z	2016-01-21T08:20:02.113Z	2016-01-22T08:20:01.279Z	2016-01-23T08:20:02.364Z	2016-01-24T08:20:01.690Z	2016-01-25T08:20:01.646Z
issa_knows	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	33	33	33	33	33	37	37	37	37	37	37	37	37	37	37	37	37	37	37	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
itskoo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ivanrivas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
janetfang	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
jasmine_lovesadipose	304	304	304	323	325	326	426	447	447	451	453	611	623	624	627	731	748	796	842	878	881	883	885	898	907	908	911	920	991	1041	1041	1041	1042	1042	1042	1044	1044	1044	1093	1096	1096	1096	1097	1097	1104	1121	1121	1121	1128	1161	1162	1171	1173	1227	1233	1239	1278	1283	1285
jensslack123	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
jessica	34	34	34	34	34	34	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
jevin	340	343	349	350	376	405	405	412	420	423	432	432	435	447	509	510	512	527	535	539	546	567	579	583	592	597	599	600	603	603	604	607	607	614	614	619	619	621	626	632	636	636	636	637	637	637	637	640	642	645	656	658	658	658	662	669	670	672	673
jia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	8	8	8	8	8	8
jiahaok	77	77	77	77	79	94	97	102	102	102	102	102	102	102	102	103	103	103	103	103	103	103	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	111	111	111	111	111	111	111	111	111	111	111	111	111
